用户昵称,商品型号,评论时间,评论内容
ㄦ锋电О,,璇璁烘堕,璇璁哄瀹
ㄦ锋电О,,璇璁烘堕,璇璁哄瀹
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
乐***呵,颜色:00 白色;尺码:165/84A/S,2020-05-13 10:18:01,很棒哇，很酷，个子高点穿大码更酷，矮子的我只能买个小码唉
e***g,颜色:00 白色;尺码:165/84A/S,2020-05-11 21:38:55,质量很好
回***^,颜色:00 白色;尺码:165/84A/S,2020-05-09 13:23:11,先说商品质量：产品总体不错，包装严实。再说商家服务：点赞啦。最后点评快递：发货很快。其他就是感谢店家打折送券活动，毕竟便宜好货更实在。希望店家多多优惠，及时通知老客户，促成回购。祝生意兴隆。我每次都会先试用再评价的，虽然宝贝不一定是最好的，但在同等的价位里面绝对是表现最棒的。
徐***9,颜色:00 白色;尺码:170/92A/M,2020-05-07 15:20:57,此用户没有填写评论!
z***e,颜色:00 白色;尺码:165/84A/S,2020-05-05 13:20:40,整体评价：符合预期。还不错。 材质特性：全棉 上身效果：偏修身。易搭配。 厚薄度：中等。
王***芬,颜色:00 白色;尺码:165/84A/S,2020-05-05 11:39:58,穿裙子好看
花***开,颜色:00 白色;尺码:165/84A/S,2020-05-05 11:27:18,好看！喜欢哦～夏天很适合。有一点长，155/45。喜欢合身一点的可以买xs
w***敏,颜色:00 白色;尺码:165/84A/S,2020-05-05 11:01:22,很好，很喜欢
t***y,颜色:00 白色;尺码:165/84A/S,2020-05-04 22:28:22,一如既往的好看好看好看
出***人,颜色:00 白色;尺码:165/84A/S,2020-05-04 16:19:00,非常好看，还打折。 开心的呢
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
k***1,网络类型:SA/NSA双模(5G);机身颜色:黑巧风暴（深空灰）;套餐类型:官方标配;存储容量:8+128GB,2021-02-05 17:22:44,各方面都非常好，配置足够用了。黑色很漂亮。俊俊全五分。前任也叫俊俊。后面还送了一个无线耳机。
乡***哈,网络类型:SA/NSA双模(5G);机身颜色:桃子西柚（橙金色）;套餐类型:官方标配;存储容量:8+128GB,2021-02-05 12:10:23,拍照效果：这个价格的拍照真的不错 显示效果：三星的屏幕还不错 其他特色：对性能要求不高，本来想选天机的 旺仔全五分
t***2,网络类型:SA/NSA双模(5G);机身颜色:黑巧风暴（深空灰）;套餐类型:官方标配;存储容量:8+128GB,2021-02-05 12:02:48,给老弟买的
凝***语,网络类型:SA/NSA双模(5G);机身颜色:白桃乌龙（白色）;套餐类型:官方标配;存储容量:8+256GB,2021-02-05 10:14:11,速度唰唰快，很好！
t***8,网络类型:SA/NSA双模(5G);机身颜色:蓝莓薄荷（蓝绿渐变）;套餐类型:官方标配;存储容量:8+256GB,2021-02-05 08:19:22,速度特别快还是新的好，
t***6,网络类型:SA/NSA双模(5G);机身颜色:桃子西柚（橙金色）;套餐类型:官方标配;存储容量:8+128GB,2021-02-05 00:49:59,买来这个是送人的，她很喜欢。卖家的贴心让我感到很温暖。以后我还会来选的。
m***8,网络类型:SA/NSA双模(5G);机身颜色:白桃乌龙（白色）;套餐类型:官方标配;存储容量:8+128GB,2021-02-04 22:09:13,还挺不错的
人***安,网络类型:SA/NSA双模(5G);机身颜色:黑巧风暴（深空灰）;套餐类型:官方标配;存储容量:8+128GB,2021-02-04 20:54:40,包装完好，送货速度快，正品行货
李***c,网络类型:SA/NSA双模(5G);机身颜色:白桃乌龙（白色）;套餐类型:官方标配;存储容量:8+128GB,2021-02-04 20:24:02,宋妍霏   宁静 全五分
n***8,网络类型:SA/NSA双模(5G);机身颜色:蓝莓薄荷（蓝绿渐变）;套餐类型:官方标配;存储容量:8+256GB,2021-02-04 19:47:13,好评
用户昵称,商品型号,评论时间,评论内容
t***0,网络类型:SA/NSA双模(5G);机身颜色:黑巧风暴（深空灰）;套餐类型:官方标配;存储容量:8+128GB,2021-02-06 13:11:52,买第三个手机了  服务和质量都挺好的
w***9,网络类型:SA/NSA双模(5G);机身颜色:白桃乌龙（白色）;套餐类型:官方标配;存储容量:8+128GB,2021-02-06 11:13:21,手机是正品，发现手机反应很快，拍照也很清晰，电池够用，一天一冲。显示也很清晰，骁龙765处理器，处理的特别快，平常不打游戏，够用够用，这是我在三际数码，店里边买的第二部手机，记得五年前买过一部魅族魅蓝3s也用了两三年，质量是杠杠的。
王***8,网络类型:SA/NSA双模(5G);机身颜色:白桃乌龙（白色）;套餐类型:官方标配;存储容量:8+256GB,2021-02-06 10:15:23,是正品，质量还可以，客服态度也挺好的张雨绮戚薇全五分
k***1,网络类型:SA/NSA双模(5G);机身颜色:黑巧风暴（深空灰）;套餐类型:官方标配;存储容量:8+128GB,2021-02-05 17:22:44,各方面都非常好，配置足够用了。黑色很漂亮。俊俊全五分。前任也叫俊俊。后面还送了一个无线耳机。
乡***哈,网络类型:SA/NSA双模(5G);机身颜色:桃子西柚（橙金色）;套餐类型:官方标配;存储容量:8+128GB,2021-02-05 12:10:23,拍照效果：这个价格的拍照真的不错 显示效果：三星的屏幕还不错 其他特色：对性能要求不高，本来想选天机的 旺仔全五分
t***2,网络类型:SA/NSA双模(5G);机身颜色:黑巧风暴（深空灰）;套餐类型:官方标配;存储容量:8+128GB,2021-02-05 12:02:48,给老弟买的
凝***语,网络类型:SA/NSA双模(5G);机身颜色:白桃乌龙（白色）;套餐类型:官方标配;存储容量:8+256GB,2021-02-05 10:14:11,速度唰唰快，很好！
t***8,网络类型:SA/NSA双模(5G);机身颜色:蓝莓薄荷（蓝绿渐变）;套餐类型:官方标配;存储容量:8+256GB,2021-02-05 08:19:22,速度特别快还是新的好，
t***6,网络类型:SA/NSA双模(5G);机身颜色:桃子西柚（橙金色）;套餐类型:官方标配;存储容量:8+128GB,2021-02-05 00:49:59,买来这个是送人的，她很喜欢。卖家的贴心让我感到很温暖。以后我还会来选的。
m***8,网络类型:SA/NSA双模(5G);机身颜色:白桃乌龙（白色）;套餐类型:官方标配;存储容量:8+128GB,2021-02-04 22:09:13,还挺不错的
